title,recipe_link,img_link,ingredients,yield,nutrients,region,subregion,meal_type,total_calories,total_protein,total_fat,total_carb
"""Eat Them Right Out of the Pot"" Vegetarian Collard Greens",https://www.allrecipes.com/recipe/240491/eat-them-right-out-of-the-pot-vegetarian-collard-greens/,https://www.allrecipes.com/thmb/cTnHSLcWklu9VIaJ4_-s4rCSjrI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4459505-36919fa1be044da5a4c7b988fefafa87.jpg,"['4 cups water, or as needed', '0.25 cup apple cider vinegar', '1 tablespoon seafood seasoning (such as Old Bay®)', '1 tablespoon olive oil', '1 bunch collard greens, trimmed and cut into 2-inch strips', '2 small jalapeno peppers, diced', '3 cloves garlic, halved lengthwise, or more to taste', 'salt and ground black pepper to taste']",4 servings,"{'calories': '59 kcal', 'carbohydrateContent': '5 g', 'fiberContent': '3 g', 'proteinContent': '2 g', 'saturatedFatContent': '1 g', 'sodiumContent': '439 mg', 'sugarContent': '1 g', 'fatContent': '4 g', 'unsaturatedFatContent': '0 g'}",usa,southern,side,231.07,6.63,15.58,18.86
"""Tadpole in the Hole"" - Breakfast Sausage and Kale Dutch Baby",https://www.allrecipes.com/recipe/8501678/tadpole-in-the-hole-breakfast-sausage-and-kale-dutch-baby/,https://www.allrecipes.com/thmb/FKLyR_A8vwWfdwE1gnCuibPiW_Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Tadpole-in-a-Hole-2000-ecdc9fd63b2b4b11912159eb4e781175.jpg,"['1 small bunch stemmed kale', '1 tablespoon unsalted butter', '6 cooked breakfast sausage links', '0.5 cup all-purpose flour', '2 large eggs', '1.5 teaspoons maple syrup', '1 teaspoon kosher salt', '1 pinch freshly ground black pepper', '1 pinch cayenne pepper', '0.5 cup whole milk']",2 servings,"{'calories': '603 kcal', 'carbohydrateContent': '50 g', 'cholesterolContent': '257 mg', 'fiberContent': '5 g', 'proteinContent': '30 g', 'saturatedFatContent': '13 g', 'sodiumContent': '1914 mg', 'fatContent': '33 g', 'unsaturatedFatContent': '0 g'}",usa,southern,na,1058.07,51.04,63.75,70.35
"""Tastee"" Sandwich",https://www.allrecipes.com/recipe/254762/tastee-sandwich/,https://www.allrecipes.com/thmb/A6zXHhXNKhQVrTR83B09dsBd3Sg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3821439-6992123c8ff64c51af9a7dcc677358b8.jpg,"['4 ounces ketchup, or more to taste', '5 teaspoons salt', '1 tablespoon prepared mustard', '1 tablespoon creamed horseradish', '1 tablespoon Worcestershire sauce', '0.25 teaspoon ground black pepper', '5 pounds 85% lean ground beef', '1 cup warm water', '1 cup minced onion', ""1 teaspoon monosodium glutamate (such as Ac'cent®)""]",26 servings,"{'calories': '182 kcal', 'carbohydrateContent': '2 g', 'cholesterolContent': '53 mg', 'fiberContent': '0 g', 'proteinContent': '15 g', 'saturatedFatContent': '5 g', 'sodiumContent': '577 mg', 'sugarContent': '1 g', 'fatContent': '12 g', 'unsaturatedFatContent': '0 g'}",usa,state_ne,na,6045.71,633.83,348.1,59.02
'Momma Made Em' Chicken and Sausage Gumbo,https://www.allrecipes.com/recipe/200618/momma-made-em-chicken-and-sausage-gumbo/,https://www.allrecipes.com/thmb/YrL0EyuXt9sNby_byW-58Hie-c8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1658100-momma-made-em-chicken-and-sausage-gumbo-Nikki-Mose-4x3-1-766f36faf277408da3d87610658ab1b7.jpg,"['1 (3 pound) whole chicken', '0.5 cup all-purpose flour', '0.5 cup vegetable oil', '1 (10 ounce) package frozen chopped onions', '1 (10 ounce) package frozen green bell peppers', '5 stalks celery, finely chopped', ""1 tablespoon Cajun seasoning (such as Tony Chachere's), or to taste"", '2 whole bay leaves', '1 (28 ounce) can diced tomatoes', '1 pound fully-cooked smoked beef sausage (such as Hillshire Farm®), sliced', '1 (10 ounce) package frozen sliced okra', 'salt and black pepper to taste']",10 servings,"{'calories': '437 kcal', 'carbohydrateContent': '15 g', 'cholesterolContent': '67 mg', 'fiberContent': '3 g', 'proteinContent': '21 g', 'saturatedFatContent': '9 g', 'sodiumContent': '835 mg', 'sugarContent': '3 g', 'fatContent': '32 g', 'unsaturatedFatContent': '0 g'}",usa,cajun_creole,"na,soups_and_stews",6724.39,468.42,469.47,146.1
'Momma Made Em' Chicken and Sausage Gumbo,https://www.allrecipes.com/recipe/200618/momma-made-em-chicken-and-sausage-gumbo/,https://www.allrecipes.com/thmb/YrL0EyuXt9sNby_byW-58Hie-c8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1658100-momma-made-em-chicken-and-sausage-gumbo-Nikki-Mose-4x3-1-766f36faf277408da3d87610658ab1b7.jpg,"['1 (3 pound) whole chicken', '0.5 cup all-purpose flour', '0.5 cup vegetable oil', '1 (10 ounce) package frozen chopped onions', '1 (10 ounce) package frozen green bell peppers', '5 stalks celery, finely chopped', ""1 tablespoon Cajun seasoning (such as Tony Chachere's), or to taste"", '2 whole bay leaves', '1 (28 ounce) can diced tomatoes', '1 pound fully-cooked smoked beef sausage (such as Hillshire Farm®), sliced', '1 (10 ounce) package frozen sliced okra', 'salt and black pepper to taste']",10 servings,"{'calories': '437 kcal', 'carbohydrateContent': '15 g', 'cholesterolContent': '67 mg', 'fiberContent': '3 g', 'proteinContent': '21 g', 'saturatedFatContent': '9 g', 'sodiumContent': '835 mg', 'sugarContent': '3 g', 'fatContent': '32 g', 'unsaturatedFatContent': '0 g'}",usa,southern,"soups_and_stews,soups_and_stews,side",6724.39,468.42,469.47,146.1
'Momma Made Em' Chicken and Sausage Gumbo,https://www.allrecipes.com/recipe/200618/momma-made-em-chicken-and-sausage-gumbo/,https://www.allrecipes.com/thmb/YrL0EyuXt9sNby_byW-58Hie-c8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1658100-momma-made-em-chicken-and-sausage-gumbo-Nikki-Mose-4x3-1-766f36faf277408da3d87610658ab1b7.jpg,"['1 (3 pound) whole chicken', '0.5 cup all-purpose flour', '0.5 cup vegetable oil', '1 (10 ounce) package frozen chopped onions', '1 (10 ounce) package frozen green bell peppers', '5 stalks celery, finely chopped', ""1 tablespoon Cajun seasoning (such as Tony Chachere's), or to taste"", '2 whole bay leaves', '1 (28 ounce) can diced tomatoes', '1 pound fully-cooked smoked beef sausage (such as Hillshire Farm®), sliced', '1 (10 ounce) package frozen sliced okra', 'salt and black pepper to taste']",10 servings,"{'calories': '437 kcal', 'carbohydrateContent': '15 g', 'cholesterolContent': '67 mg', 'fiberContent': '3 g', 'proteinContent': '21 g', 'saturatedFatContent': '9 g', 'sodiumContent': '835 mg', 'sugarContent': '3 g', 'fatContent': '32 g', 'unsaturatedFatContent': '0 g'}",usa,state_la,na,6724.39,468.42,469.47,146.1
120 Calorie Peach Pies,https://www.allrecipes.com/recipe/228935/120-calorie-peach-pies/,https://www.allrecipes.com/thmb/Z_vGPTGXcwksc0vEBngUUBNGp_w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1024486-fc0b5b57dd3d4e98b2e4ab772053b270.jpg,"['1 recipe pastry for a single 9-inch pie crust', '1 large fresh peach, sliced into 8 pieces', '1 teaspoon white sugar', '1 teaspoon ground cinnamon']",8 servings,"{'calories': '121 kcal', 'carbohydrateContent': '12 g', 'fiberContent': '1 g', 'proteinContent': '1 g', 'saturatedFatContent': '2 g', 'sodiumContent': '118 mg', 'sugarContent': '2 g', 'fatContent': '8 g', 'unsaturatedFatContent': '0 g'}",usa,southern,dessert,1170.28,17.39,60.07,143.01
25-Minute Tunisian Vegetable Couscous,https://www.allrecipes.com/recipe/168959/25-minute-tunisian-vegetable-couscous/,https://www.allrecipes.com/thmb/sRI5KpXMhRFrndOX0LagZg5mcE8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/248517-15311870fe6946d2bdc5ae11d8ec915d.jpg,"['1 tablespoon olive oil', '1 red onion, chopped', '1 zucchini, coarsely chopped', '1 yellow squash, coarsely chopped', '1 carrot, coarsely chopped', '1 red bell pepper, coarsely chopped', '1 yellow bell pepper, coarsely chopped', '0.5 cup sliced baby portabella mushrooms', '4 cups vegetable broth', '0.5 teaspoon smoked sweet paprika', '0.25 teaspoon ground cardamom', '0.25 teaspoon salt', '1 tablespoon chopped fresh cilantro', '1 (16 ounce) can chickpeas, drained', '2 Roma tomatoes, sliced', '2 cups dry couscous', '1 teaspoon grated orange zest', '1 tablespoon grated Parmesan cheese', '0.5 teaspoon paprika', '1 tablespoon finely chopped toasted almonds']",6 servings,"{'calories': '387 kcal', 'carbohydrateContent': '72 g', 'cholesterolContent': '1 mg', 'fiberContent': '9 g', 'proteinContent': '14 g', 'saturatedFatContent': '1 g', 'sodiumContent': '699 mg', 'sugarContent': '5 g', 'fatContent': '5 g', 'unsaturatedFatContent': '0 g'}",african,na,main,1933.06,76.79,37.48,335.3
3-Ingredient Cake Mix Cobbler,https://www.allrecipes.com/recipe/264042/3-ingredient-cake-mix-cobbler/,https://www.allrecipes.com/thmb/bVJs9cWsJTkCpVbzKQj2nkQpam8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6950272-5973116c31644cdcb22d7326aab6c457.jpg,"['2 (15.25 ounce) cans peaches in light syrup', '1 (15.25 ounce) package yellow cake mix', '0.5 cup butter, melted']",8 servings,"{'calories': '439 kcal', 'carbohydrateContent': '66 g', 'cholesterolContent': '32 mg', 'fiberContent': '2 g', 'proteinContent': '4 g', 'saturatedFatContent': '8 g', 'sodiumContent': '512 mg', 'sugarContent': '42 g', 'fatContent': '19 g', 'unsaturatedFatContent': '0 g'}",usa,southern,"dessert,dessert,dessert,dessert,dessert",2800.85,20.21,108.33,448.62
3-Ingredient Lemon Scones,https://www.allrecipes.com/recipe/263669/3-ingredient-lemon-scones/,https://www.allrecipes.com/thmb/HQyJyRJXN_fsf4FYAn8rt6RHRaM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5356628-5ab717111f364c3495d30f0d680c758c.jpg,"['cooking spray', '3 cups self-rising flour', '1 cup lemon-flavored soda', '1 cup heavy cream']",12 servings,"{'calories': '190 kcal', 'carbohydrateContent': '26 g', 'cholesterolContent': '27 mg', 'fiberContent': '1 g', 'proteinContent': '4 g', 'saturatedFatContent': '5 g', 'sodiumContent': '404 mg', 'sugarContent': '3 g', 'fatContent': '8 g', 'unsaturatedFatContent': '0 g'}",austrailia_new_zealand,austrailia_new_zealand,"na,na",2355.96,46.18,91.32,343
