title,recipe_link,img_link,ingredients,yield,nutrients,meal_type,subregion,region,total_calories,total_protein,total_fat,total_carb
Japanese-Style Deep-Fried Shrimp,https://www.allrecipes.com/recipe/127500/japanese-style-deep-fried-shrimp/,https://www.allrecipes.com/thmb/e4NChKuadg3Uw6jaik_cgz6AkLE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/599150-68fb2d1226834303b5223f315ee45ca6.jpg,"['1 pound medium shrimp, peeled (tails left on) and deveined', '0.5 teaspoon salt', '0.5 teaspoon ground black pepper', '0.5 teaspoon garlic powder', '1 cup all-purpose flour', '1 teaspoon paprika', '2 large eggs, beaten', '1 cup panko crumbs', '1 quart vegetable oil for frying']",4 servings,"{'calories': '630 kcal', 'carbohydrateContent': '54 g', 'cholesterolContent': '250 mg', 'fiberContent': '2 g', 'proteinContent': '28 g', 'saturatedFatContent': '6 g', 'sodiumContent': '763 mg', 'sugarContent': '0 g', 'fatContent': '37 g', 'unsaturatedFatContent': '0 g'}",main,japanese,asian,9258.84,143.91,893.3,183.77999999999997
Japanese-Style Fluffy Pancakes,https://www.allrecipes.com/recipe/263960/japanese-style-fluffy-pancakes/,https://www.allrecipes.com/thmb/gLGIfay0HgndKPLhbc-7FZwuqf4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8523331-34e5d5efaa0e491d93ff94ee260b7aa7.jpg,"['2 eggs', '0.25 cup brown sugar', '1.5 cups all-purpose flour', '2 teaspoons baking powder', '0.66666668653488 cup milk', '0.5 teaspoon vanilla extract']",4 servings,"{'calories': '282 kcal', 'carbohydrateContent': '52 g', 'cholesterolContent': '96 mg', 'fiberContent': '1 g', 'proteinContent': '9 g', 'saturatedFatContent': '1 g', 'sodiumContent': '300 mg', 'sugarContent': '16 g', 'fatContent': '4 g', 'unsaturatedFatContent': '0 g'}",,japanese,asian,1091.68,37.370000000000005,14.59,199.22000000000003
Japanese-Style Sesame Green Beans,https://www.allrecipes.com/recipe/87590/japanese-style-sesame-green-beans/,https://www.allrecipes.com/thmb/4o1M0nI1XzP4RZoWjyqYZX76pFw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1103965-0c79ddcc8b83487592c8c6a153814465.jpg,"['1 tablespoon canola oil', '1.5 teaspoons sesame oil', '1 pound fresh green beans, washed', '1 tablespoon soy sauce', '1 tablespoon toasted sesame seeds']",4 servings,"{'calories': '97 kcal', 'carbohydrateContent': '9 g', 'fiberContent': '4 g', 'proteinContent': '3 g', 'saturatedFatContent': '1 g', 'sodiumContent': '233 mg', 'sugarContent': '2 g', 'fatContent': '7 g', 'unsaturatedFatContent': '0 g'}",side,"japanese,state_or","asian,usa",375.44,10.96,25.43,34.470000000000006
Japchae,https://www.allrecipes.com/recipe/236174/japchae/,https://www.allrecipes.com/thmb/e98ntA3U_dGh5-2_eVEPj2OaOk4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6584525-japchae-jacksie-4x3-1-7d9586d209394d08ad2e4691bda29837.jpg,"['3 tablespoons soy sauce', '2.5 tablespoons white sugar', '2 tablespoons sesame oil', '2 teaspoons minced garlic', '8 ounces sweet potato noodles', '4 ounces lean beef, cut into 2-inch long strips', '6 ounces fresh spinach', 'salt and ground black pepper to taste', '1 tablespoon vegetable oil, divided', '1 small sweet onion, thinly sliced', '4 mushrooms, stemmed and sliced', '1 small carrot, cut into matchsticks']",8 servings,"{'calories': '201 kcal', 'carbohydrateContent': '32 g', 'cholesterolContent': '7 mg', 'fiberContent': '1 g', 'proteinContent': '4 g', 'saturatedFatContent': '1 g', 'sodiumContent': '368 mg', 'sugarContent': '5 g', 'fatContent': '7 g', 'unsaturatedFatContent': '0 g'}",main,korean,asian,1356.67,57.38,57.51999999999999,159.78000000000003
Japchae Korean Glass Noodles,https://www.allrecipes.com/recipe/196879/jap-chae-korean-glass-noodles/,https://www.allrecipes.com/thmb/BaCfm1BV1sE_RI6d8hBCgmg4uK8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4468800-3f578da6107c4a2cb89e16d1b5114bca.jpg,"['0.5 pound Korean dang myun noodles', '2.5 teaspoons sesame oil, divided', '2 tablespoons soy sauce', '2 teaspoons white sugar', '1 tablespoon vegetable oil', '2 carrots, cut into match-stick size pieces', '0.5 pound asparagus, thinly sliced', '0.75 cup thinly sliced onions', '2 cloves garlic, minced', '3 green onions cut into 1-inch pieces', '0.5 cup dried shiitake mushrooms, soaked until soft, then sliced into strips', '1 tablespoon sesame seeds']",2 servings,"{'calories': '673 kcal', 'carbohydrateContent': '117 g', 'fiberContent': '11 g', 'proteinContent': '17 g', 'saturatedFatContent': '2 g', 'sodiumContent': '1639 mg', 'sugarContent': '13 g', 'fatContent': '17 g', 'unsaturatedFatContent': '0 g'}",main,korean,asian,1596.4,56.22,35.86,286.05
Jay's Signature Pizza Crust,https://www.allrecipes.com/recipe/7245/jays-signature-pizza-crust/,https://www.allrecipes.com/thmb/X7yVZrUL_aSBkJ-cfsaxk3pAFUw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/665548-4ffe8ccc89e2499a9ea5cc70b24bbe20.jpg,"['1.5 cups warm water (110 degrees F/45 degrees C)', '2.25 teaspoons active dry yeast', '0.5 teaspoon brown sugar', '2 tablespoons olive oil', '1 teaspoon salt', '3.3333332538605 cups all-purpose flour, divided']",15 servings,"{'calories': '119 kcal', 'carbohydrateContent': '22 g', 'fiberContent': '1 g', 'proteinContent': '3 g', 'saturatedFatContent': '0 g', 'sodiumContent': '157 mg', 'sugarContent': '0 g', 'fatContent': '2 g', 'unsaturatedFatContent': '0 g'}",bread,"italian,jewish","european,usa",1790.0700000000002,46.64,31.759999999999998,323.15999999999997
Jean's Homemade Chicken Noodle Soup,https://www.allrecipes.com/recipe/15346/jeans-homemade-chicken-noodle-soup/,https://www.allrecipes.com/thmb/6uywrpaWwMtBE1eiHov7k4DN7y0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/320806-4cb713f34b614ff6b4a6526df9195ed6.jpg,"['2 (14 ounce) cans chicken broth', '2 cups water', '3 carrots, chopped', '3 stalks celery, chopped', '1 pinch ground black pepper', '3 slices fresh ginger root', '1 tablespoon vegetable oil', '0.5 cup chopped cooked chicken breast meat', '0.5 cup egg noodles']",4 servings,"{'calories': '124 kcal', 'carbohydrateContent': '11 g', 'cholesterolContent': '22 mg', 'fiberContent': '2 g', 'proteinContent': '7 g', 'saturatedFatContent': '1 g', 'sodiumContent': '1012 mg', 'sugarContent': '4 g', 'fatContent': '6 g', 'unsaturatedFatContent': '0 g'}",soups_and_stews,jewish,usa,840.7199999999999,66.87,34.62,66.07
Jeera Rice,https://www.allrecipes.com/recipe/241731/jeera-rice/,https://www.allrecipes.com/thmb/Q-bkPmknpJFj6t9AAmce5pFBdlQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4560046-077a2035bdac40d49a606eefb5cf31d3.jpg,"['1 cup basmati rice', '2 teaspoons vegetable oil', '1 teaspoon cumin seeds', '4 whole cloves', '4 whole black peppercorns', '2 cardamom pods', '1 bay leaf', '1.5 cups water', 'salt to taste']",4 servings,"{'calories': '195 kcal', 'carbohydrateContent': '39 g', 'fiberContent': '1 g', 'proteinContent': '4 g', 'saturatedFatContent': '1 g', 'sodiumContent': '46 mg', 'sugarContent': '0 g', 'fatContent': '3 g', 'unsaturatedFatContent': '0 g'}",side,indian,asian,320.03,5.68,10.39,52.19
Jefferson Davis Pie,https://www.allrecipes.com/recipe/12672/jefferson-davis-pie/,https://www.allrecipes.com/thmb/Mknm6ik7bJaMTVn0wIXxXVRDKfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/719797-23f9abc243a1474a8e94b8d19c9fcf45.jpg,"['1 cup butter, softened', '1 cup white sugar', '1 cup packed light brown sugar', '1 cup heavy cream', '2 eggs', '2 tablespoons all-purpose flour', '1 tablespoon vanilla extract', '2 unbaked pie shells', '1 cup heavy cream', '3 tablespoons white sugar', '2 tablespoons bourbon whiskey']",16 servings,"{'calories': '447 kcal', 'carbohydrateContent': '40 g', 'cholesterolContent': '95 mg', 'fiberContent': '1 g', 'proteinContent': '3 g', 'saturatedFatContent': '16 g', 'sodiumContent': '223 mg', 'sugarContent': '28 g', 'fatContent': '31 g', 'unsaturatedFatContent': '0 g'}",dessert,state_va,usa,5904.829999999999,40.69,394.01000000000005,561.4599999999999
Jemput Jumput (Banana Fritters),https://www.allrecipes.com/recipe/85508/jemput-jumput-banana-fritters/,https://www.allrecipes.com/thmb/mFo0K9PAbh_0Ips77dnUERP76qQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/23965-0e070aaa03fe46988e0b44e5eec429e2.jpg,"['0.625 cup all-purpose flour', '1 pinch salt', '1 teaspoon baking powder', '6 ripe bananas', '3 tablespoons white sugar', 'oil for frying']",18 servings,"{'calories': '491 kcal', 'carbohydrateContent': '14 g', 'fiberContent': '1 g', 'proteinContent': '1 g', 'saturatedFatContent': '6 g', 'sodiumContent': '28 mg', 'sugarContent': '7 g', 'fatContent': '49 g', 'unsaturatedFatContent': '0 g'}",dessert,jewish,usa,1184.13,15.73,17.1,259.76
Jen's Fresh and Spicy Salsa,https://www.allrecipes.com/recipe/74591/jens-fresh-and-spicy-salsa/,https://www.allrecipes.com/thmb/M2xbwnL9CMoRTPDor_xgxkDUWxY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1044102-7c59e52bbc6947c2ab182f304b249fc8.jpg,"['5 roma (plum) tomatoes, seeded and chopped', '10 green onions', '2 fresh jalapeno peppers, seeded', '0.25 cup chopped fresh cilantro', '2 tablespoons fresh lime juice', '2 tablespoons hot pepper sauce', '1 teaspoon ground black pepper', '1 teaspoon garlic powder', '1 teaspoon salt']",16 servings,"{'calories': '9 kcal', 'carbohydrateContent': '2 g', 'fiberContent': '1 g', 'proteinContent': '1 g', 'sodiumContent': '160 mg', 'sugarContent': '1 g', 'fatContent': '0 g', 'unsaturatedFatContent': '0 g'}",appetizer,jewish,usa,139.32,6.84,1.24,31.75
Jen's Jambalaya,https://www.allrecipes.com/recipe/133604/jens-jambalaya/,https://www.allrecipes.com/thmb/m-DiUs9QdmLfV76W_JfAyt4KILU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/807897-55f445862d224998bc1f687a8140a91d.jpg,"['2 tablespoons margarine or butter', '0.25 cup chopped onion', '0.33333334326744 cup chopped celery', '0.25 cup chopped green pepper', '1 (14.5 ounce) can diced tomatoes', '1.5 cups chicken broth', '0.66666668653488 cup long grain white rice', '1 teaspoon dried basil', '0.25 teaspoon garlic powder', '0.25 teaspoon black pepper', '0.25 teaspoon hot sauce', '1 bay leaf', '0.66666668653488 cup diced cooked chicken breast', '0.66666668653488 cup cooked crumbled Italian sausage', '0.66666668653488 cup peeled cooked shrimp']",4 servings,"{'calories': '375 kcal', 'carbohydrateContent': '32 g', 'cholesterolContent': '80 mg', 'fiberContent': '2 g', 'proteinContent': '21 g', 'saturatedFatContent': '5 g', 'sodiumContent': '1064 mg', 'sugarContent': '4 g', 'fatContent': '17 g', 'unsaturatedFatContent': '0 g'}",soups_and_stews,",southern,state_la",usa,1379.23,91.11,83.47,66.46000000000001
